operator_name,task_type,call_count,kernel_duration_total_us,kernel_duration_total_ms,kernel_duration_avg_us,wait_time_total_us,wait_time_avg_us,total_cost_us,step_kernel_share_percent
aclnnConvolution_Conv2dWithFlag_Conv2D,AI_CORE,146,271631.355000,271.631355,1860.488733,6.754000,0.046260,271638.109000,14.084559818
MultiScaleDeformableAttnGrad,AI_CORE,6,187430.755000,187.430755,31238.459167,0.534000,0.089000,187431.289000,9.718611758
aclnnConvolution_TransData_TransData,AI_CORE,435,102938.092000,102.938092,236.639292,25.554000,0.058745,102963.646000,5.337519722
aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,1,82961.842000,82.961842,82961.842000,0.151000,0.151000,82961.993000,4.301716296
MultiScaleDeformableAttn,AI_CORE,6,82345.215000,82.345215,13724.202500,0.400000,0.066667,82345.615000,4.269743110
aclnnAdd_AddAiCore_Add,AI_CORE,2630,56952.923000,56.952923,21.655104,79106.499000,30.078517,136059.422000,2.953108454
aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,AI_CORE,2313,56903.089000,56.903089,24.601422,36249.627000,15.672126,93152.716000,2.950524474
aclnnConvolutionBackward_Conv2DBackpropFilterWithFlag_Conv2DBackpropFilter,AI_CORE,77,53473.211000,53.473211,694.457286,4.808000,0.062442,53478.019000,2.772679314
aclnnNonzeroV2_NonzeroAiCore_NonZero,AI_CORE,3537,50571.830000,50.571830,14.297945,17845.611000,5.045409,68417.441000,2.622237645
aclnnIndex_IndexAiCore_Index,AI_CORE,4677,50063.406000,50.063406,10.704171,571797.020000,122.257220,621860.426000,2.595874974
aclnnBatchNorm_BNInfer_BNInfer,AI_CORE,59,49118.904000,49.118904,832.523797,3.383000,0.057339,49122.287000,2.546900897
aclnnMm_MatMulCommon_MatMulV2,AI_CORE,1906,46994.964000,46.994964,24.656329,2225.220000,1.167482,49220.184000,2.436770901
aclnnConvolutionBackward_Conv2DBackpropInputWithFlag_Conv2DBackpropInput,AI_CORE,76,43250.912000,43.250912,569.090947,4.837000,0.063645,43255.749000,2.242635270
aclnnUnique2_UniqueWithCountsAndSorting_UniqueWithCountsAndSorting,AI_CORE,488,42067.143000,42.067143,86.203162,139122.480000,285.087049,181189.623000,2.181254782
aclnnMul_MulAiCore_Mul,AI_CORE,2680,36466.201000,36.466201,13.606791,32876.499000,12.267350,69342.700000,1.890836164
aclnnInplaceRelu_Relu_Relu,AI_CORE,90,34472.007000,34.472007,383.022300,214.207000,2.380078,34686.214000,1.787433725
aclnnConvolutionBackward_TransData_TransData,AI_CORE,348,32525.413000,32.525413,93.463830,302.576000,0.869471,32827.989000,1.686499429
aclnnInplaceCopy_ViewCopyAiCore_ViewCopy,AI_CORE,1321,31837.096000,31.837096,24.100754,26693.771000,20.207245,58530.867000,1.650808991
aclnnIndexPutImpl_IndexPutV2_IndexPutV2,AI_CORE,3331,31445.689000,31.445689,9.440315,209630.398000,62.933173,241076.087000,1.630513855
aclnnDiv_RealDivAiCore_RealDiv,AI_CORE,1949,26341.978000,26.341978,13.515638,86305.085000,44.281727,112647.063000,1.365877532
aclnnNonzeroV2_NonzeroAiCore_MemSet,AI_CORE,3537,23037.139000,23.037139,6.513186,295271.275000,83.480711,318308.414000,1.194515862
aclnnBatchMatMul_BatchMatMulNd_BatchMatMulV2,AI_CORE,280,20445.995000,20.445995,73.021411,130.560000,0.466286,20576.555000,1.060160524
aclnnMaxPool2dWithMask_MaxPool3DWithArgmaxV2NcdhwAiCore_MaxPool3DWithArgmaxV2,AI_CORE,1,20318.754000,20.318754,20318.754000,0.000000,0.000000,20318.754000,1.053562856
aclnnInplaceCopy_TransposeAiCore_Transpose,AI_CORE,286,19030.772000,19.030772,66.541161,6783.137000,23.717262,25813.909000,0.986778741
aclnnMm_MatMulV3Common_MatMulV3,AI_CORE,155,18956.750000,18.956750,122.301613,2275.823000,14.682729,21232.573000,0.982940572
aclnnLinalgVectorNorm_LpNormV2_LpNormV2,AI_CORE,972,17171.284000,17.171284,17.665930,23395.551000,24.069497,40566.835000,0.890361043
aclnnInplaceMul_MulAiCore_Mul,AI_CORE,1596,15961.558000,15.961558,10.000976,26081.376000,16.341714,42042.934000,0.827634639
aclnnMm_MatMulCommon_MemSet,AI_CORE,1906,15576.528000,15.576528,8.172365,84639.131000,44.406679,100215.659000,0.807670162
aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,117,15088.563000,15.088563,128.962077,4776.433000,40.824214,19864.996000,0.782368325
aclnnSub_SubAiCore_Sub,AI_CORE,756,11636.527000,11.636527,15.392231,6869.502000,9.086643,18506.029000,0.603374233
aclnnThresholdBackward_ReluGrad_ReluGrad,AI_CORE,83,10924.639000,10.924639,131.622157,3227.005000,38.879578,14151.644000,0.566461598
aclnnIndex_TransposeAiCore_Transpose,AI_CORE,928,10620.212000,10.620212,11.444194,22748.973000,24.513980,33369.185000,0.550676527
aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_CORE,3026,9845.750000,9.845750,3.253718,174398.849000,57.633460,184244.599000,0.510519321
aclnnMean_ReduceMeanAiCore_ReduceMean,AI_CORE,6,8932.502000,8.932502,1488.750333,43.590000,7.265000,8976.092000,0.463165818
aclnnInplaceMaskedFillScalar_MaskedFillAiCore_MaskedFill,AI_CORE,200,8769.942000,8.769942,43.849710,1795.541000,8.977705,10565.483000,0.454736798
aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,AI_CORE,989,8525.168000,8.525168,8.619988,66834.829000,67.578189,75359.997000,0.442044839
